run_id,game_type,algorithm,learning_rate,batch_size,buffer_size,num_epoch,num_units,num_layers,max_steps,cpu_cores,total_ram_gb,avg_cpu_utilization,avg_gpu_utilization,avg_ram_usage_mb,peak_ram_usage_mb,target_mean_reward,iterations_to_target
run_1767964613,3DBall,PPO,0.000425058568325625,128,4096,9,64,3,500000,16,32,8.724017467248908,10.897379912663755,14113.832532751092,14929.4,1.0,
run_1767967605,3DBall,PPO,0.00020486610542930128,128,8192,9,64,3,500000,16,32,5.828538283062645,8.306264501160094,10834.52505800464,11233.1,1.0,
run_1767968517,3DBall,PPO,0.0004226845181793542,128,8192,9,64,2,500000,16,32,5.040547263681592,12.109452736318408,10759.55223880597,10929.6,1.0,
run_1767969365,3DBall,PPO,7.682837507237418e-05,128,2048,5,64,3,500000,16,32,4.571875,9.177083333333334,10804.352430555555,10975.1,1.0,
run_1767969973,3DBall,PPO,0.0004626337187224964,256,2048,8,128,2,500000,16,32,4.98705035971223,12.694244604316546,10825.053597122302,11019.5,1.0,
run_1767970559,3DBall,PPO,0.00022818187679275517,512,2048,7,64,3,500000,16,32,5.144303797468354,18.367088607594937,10883.94599156118,11088.5,1.0,
run_1767971060,3DBall,PPO,0.00035387514307542994,512,16384,3,256,2,500000,16,32,4.1358288770053475,5.037433155080214,11037.08449197861,11219.1,1.0,
run_1767971455,3DBall,PPO,0.00037104303170669206,128,2048,7,256,2,500000,16,32,4.977218934911242,15.979289940828401,11054.18875739645,11179.4,1.0,
run_1767972185,3DBall,PPO,0.000491972021855813,64,2048,10,256,2,500000,16,32,4.819575856443719,20.760195758564436,11080.89445350734,11209.5,1.0,
run_1767973480,3DBall,PPO,0.00014856100106022799,128,16384,4,256,2,500000,16,32,4.5059288537549405,6.936758893280633,11093.68814229249,11273.0,1.0,
run_1767974014,3DBall,PPO,0.00033729966767112195,256,16384,10,256,2,500000,16,32,5.142271293375394,9.634069400630915,11174.547318611987,11325.6,1.0,
run_1767974683,3DBall,PPO,0.00016445468642179494,512,8192,4,256,2,500000,16,32,4.385641025641026,6.005128205128205,11173.350256410256,11348.2,1.0,
run_1767975095,3DBall,PPO,0.00035544375876528947,64,16384,8,128,3,500000,16,32,4.969244935543278,17.957642725598525,11298.161510128914,11519.4,1.0,
run_1767976240,3DBall,PPO,7.788311639531393e-05,64,8192,10,64,3,500000,16,32,4.97176287051482,13.02808112324493,11230.597035881436,11458.6,1.0,
run_1767977592,3DBall,PPO,0.00026840170522625053,256,8192,8,64,3,500000,16,32,4.9093103448275865,6.582758620689655,11269.883103448276,11403.8,1.0,
run_1767978204,3DBall,PPO,0.0003217562321200028,64,2048,5,64,3,500000,16,32,4.853470437017995,11.673521850899743,11287.085347043701,11449.7,1.0,
run_1767979025,3DBall,PPO,0.00015927235980717376,128,16384,7,256,3,500000,16,32,4.76951566951567,9.381766381766381,11329.335612535613,11463.5,1.0,
run_1767979765,3DBall,PPO,0.00040667481991168823,256,2048,9,64,2,500000,16,32,5.056013745704467,15.907216494845361,11297.941237113402,11421.0,1.0,
run_1767980379,3DBall,PPO,0.0001229876692538491,512,2048,10,64,3,500000,16,32,5.2886446886446885,20.05860805860806,11312.321611721612,11500.4,1.0,
